,IDPdv,IDProducto,Valor,Fecha,PreSugerido,Fecha_Mes
139,1597286,122908,9990,2021-10-01,11950,2021-10
140,1597286,122902,9990,2021-10-01,10450,2021-10
141,1597286,122907,6410,2021-10-01,6600,2021-10
142,1597286,122892,15300,2021-10-01,12600,2021-10
143,1597286,122909,9840,2021-10-01,9800,2021-10
144,1596659,122900,10000,2021-10-02,1350,2021-10
145,1596659,123045,1250,2021-10-02,1100,2021-10
146,1596659,122899,10000,2021-10-02,1350,2021-10
147,1596659,123064,1000,2021-10-02,1150,2021-10
148,1596659,123046,1250,2021-10-02,1100,2021-10
149,1596659,123063,1000,2021-10-02,1150,2021-10
150,1596659,123065,1000,2021-10-02,1150,2021-10
151,1596661,122899,10000,2021-10-02,1350,2021-10
152,1596661,123065,10500,2021-10-02,1150,2021-10
153,1596661,122900,10000,2021-10-02,1350,2021-10
154,1596661,123063,10500,2021-10-02,1150,2021-10
155,1596663,122907,6100,2021-10-02,7100,2021-10
156,1596663,122910,9700,2021-10-02,10650,2021-10
157,1596663,122909,9100,2021-10-02,10650,2021-10
158,1596663,122906,5900,2021-10-02,6450,2021-10
159,1596663,122898,10800,2021-10-02,8900,2021-10
160,1596663,122895,3800,2021-10-02,4750,2021-10
161,1596812,123076,5550,2021-10-02,7200,2021-10
162,1596812,123078,5550,2021-10-02,7200,2021-10
163,1596812,122894,12550,2021-10-02,10000,2021-10
164,1596812,122949,13600,2021-10-02,17750,2021-10
165,1596812,122902,8700,2021-10-02,11350,2021-10
166,1596812,122909,8200,2021-10-02,10650,2021-10
167,1596812,123056,8750,2021-10-02,9600,2021-10
168,1596812,122946,18850,2021-10-02,24550,2021-10
169,1596812,123035,8650,2021-10-02,10750,2021-10
170,1596812,122895,2650,2021-10-02,4750,2021-10
171,1596812,123058,9200,2021-10-02,10000,2021-10
172,1596812,122947,18850,2021-10-02,24550,2021-10
173,1596812,122948,13600,2021-10-02,17750,2021-10
174,1596812,123077,5550,2021-10-02,7200,2021-10
175,1596812,122910,8200,2021-10-02,10650,2021-10
176,1596812,123082,10850,2021-10-02,17650,2021-10
177,1596812,123054,6050,2021-10-02,5950,2021-10
178,1596812,122906,5000,2021-10-02,6450,2021-10
179,1596812,123034,8650,2021-10-02,10750,2021-10
180,1596812,123048,13850,2021-10-02,14900,2021-10
181,1596812,122901,7950,2021-10-02,10350,2021-10
182,1596812,123083,13550,2021-10-02,17650,2021-10
183,1596812,123059,9400,2021-10-02,10300,2021-10
184,1596812,122965,9950,2021-10-02,12350,2021-10
185,1596812,123055,6050,2021-10-02,5950,2021-10
186,1596813,123082,13550,2021-10-02,17650,2021-10
187,1596813,123077,5550,2021-10-02,7200,2021-10
188,1596813,122949,13650,2021-10-02,17750,2021-10
189,1596813,123034,8650,2021-10-02,10750,2021-10
190,1596813,123056,8750,2021-10-02,9600,2021-10
191,1596813,123055,6050,2021-10-02,5950,2021-10
192,1596813,122909,8200,2021-10-02,10650,2021-10
193,1596813,123068,2850,2021-10-02,3650,2021-10
194,1596813,123054,6050,2021-10-02,5950,2021-10
195,1596813,123035,8650,2021-10-02,10750,2021-10
196,1596813,122894,9250,2021-10-02,10000,2021-10
197,1596813,123083,13550,2021-10-02,17650,2021-10
198,1596813,122910,8200,2021-10-02,10650,2021-10
199,1596813,122935,2500,2021-10-02,3200,2021-10
200,1596813,123048,13850,2021-10-02,14900,2021-10
201,1596813,123070,2850,2021-10-02,3650,2021-10
202,1596813,122906,500,2021-10-02,6450,2021-10
203,1596813,122902,8700,2021-10-02,11350,2021-10
204,1596813,122895,4400,2021-10-02,4750,2021-10
205,1596813,123059,8400,2021-10-02,10300,2021-10
206,1596813,123078,2850,2021-10-02,7200,2021-10
207,1596813,122936,2500,2021-10-02,3200,2021-10
208,1596813,122948,13650,2021-10-02,17750,2021-10
209,1596813,123071,2850,2021-10-02,3650,2021-10
210,1596813,123076,5550,2021-10-02,7200,2021-10
211,1596813,122907,5500,2021-10-02,7100,2021-10
212,1596813,123058,9200,2021-10-02,10000,2021-10
213,1596813,122946,18850,2021-10-02,24550,2021-10
214,1596813,122947,18850,2021-10-02,24550,2021-10
215,1596813,123069,2850,2021-10-02,3650,2021-10
216,1596941,122939,12700,2021-10-02,15900,2021-10
217,1596941,123057,19300,2021-10-02,16200,2021-10
218,1596941,122891,11000,2021-10-02,8500,2021-10
219,1596941,122926,23300,2021-10-02,21550,2021-10
220,1596941,122947,20500,2021-10-02,22700,2021-10
221,1596941,122902,11200,2021-10-02,10450,2021-10
222,1596941,122942,12700,2021-10-02,15900,2021-10
223,1596941,123038,13000,2021-10-02,13800,2021-10
224,1596941,122898,7100,2021-10-02,8250,2021-10
225,1596941,122954,11500,2021-10-02,10700,2021-10
226,1596941,122946,20500,2021-10-02,22700,2021-10
227,1596941,123040,11700,2021-10-02,9800,2021-10
228,1596941,123039,13000,2021-10-02,13800,2021-10
229,1596941,122906,5500,2021-10-02,6000,2021-10
230,1597128,122894,10090,2021-10-02,9250,2021-10
231,1597128,122912,20000,2021-10-02,26400,2021-10
232,1597128,122956,17800,2021-10-02,21000,2021-10
233,1597128,123083,12550,2021-10-02,16300,2021-10
234,1597128,122926,22550,2021-10-02,21550,2021-10
235,1597128,123055,6530,2021-10-02,5500,2021-10
236,1597128,122914,10750,2021-10-02,11950,2021-10
237,1597128,123047,11850,2021-10-02,10900,2021-10
238,1597128,122898,8330,2021-10-02,8250,2021-10
239,1597128,122954,11200,2021-10-02,10700,2021-10
240,1597128,122952,6580,2021-10-02,5950,2021-10
241,1597128,123072,7550,2021-10-02,7950,2021-10
242,1597128,122893,12650,2021-10-02,126735,2021-10
243,1597128,122892,10090,2021-10-02,12600,2021-10
244,1597128,122892,10090,2021-10-02,12600,2021-10
245,1597128,123056,9090,2021-10-02,8850,2021-10
246,1597128,123030,36500,2021-10-02,40100,2021-10
247,1597128,122929,6080,2021-10-02,7050,2021-10
248,1597128,122948,12050,2021-10-02,16400,2021-10
249,1597128,122906,5320,2021-10-02,6000,2021-10
250,1597128,123036,18000,2021-10-02,18150,2021-10
251,1597128,122907,5780,2021-10-02,6600,2021-10
252,1597128,122953,6580,2021-10-02,5950,2021-10
253,1597128,123078,5330,2021-10-02,6650,2021-10
254,1597128,123082,12300,2021-10-02,16300,2021-10
255,1597128,122911,27150,2021-10-02,30100,2021-10
256,1597128,122910,8560,2021-10-02,9800,2021-10
257,1597128,122949,12050,2021-10-02,16400,2021-10
258,1597128,123081,31800,2021-10-02,26000,2021-10
259,1597128,123039,12600,2021-10-02,13800,2021-10
260,1597128,122945,31850,2021-10-02,37300,2021-10
261,1597128,122946,18550,2021-10-02,22700,2021-10
262,1597128,122944,31850,2021-10-02,37300,2021-10
263,1597128,122901,10350,2021-10-02,9550,2021-10
264,1597128,122909,8560,2021-10-02,9800,2021-10
265,1597128,122957,15600,2021-10-02,19100,2021-10
266,1597128,122930,6080,2021-10-02,7050,2021-10
267,1597128,122908,10600,2021-10-02,11950,2021-10
268,1597128,123058,10900,2021-10-02,9250,2021-10
269,1597128,122891,10750,2021-10-02,8500,2021-10
270,1597128,122915,10750,2021-10-02,11950,2021-10
271,1597128,123057,18650,2021-10-02,16200,2021-10
272,1597128,122947,18550,2021-10-02,22700,2021-10
273,1597286,122913,10500,2021-10-02,11950,2021-10
274,1597286,122894,11450,2021-10-02,9250,2021-10
275,1597286,123058,10800,2021-10-02,9250,2021-10
276,1597286,123033,13900,2021-10-02,16750,2021-10
277,1597286,122911,27150,2021-10-02,30100,2021-10
278,1597286,122892,15300,2021-10-02,12600,2021-10
279,1597286,122939,12450,2021-10-02,15900,2021-10
280,1597286,122954,11300,2021-10-02,10700,2021-10
281,1597286,122948,14050,2021-10-02,16400,2021-10
282,1597286,123055,6010,2021-10-02,5500,2021-10
283,1597286,122898,7570,2021-10-02,8250,2021-10
284,1597286,122909,9840,2021-10-02,9800,2021-10
285,1597286,123054,6010,2021-10-02,5500,2021-10
286,1597286,123053,24200,2021-10-02,21000,2021-10
287,1597286,122893,12450,2021-10-02,126735,2021-10
288,1597286,123030,32800,2021-10-02,40100,2021-10
289,1597286,122953,7090,2021-10-02,5950,2021-10
290,1597286,123032,13300,2021-10-02,16750,2021-10
291,1597286,123040,11040,2021-10-02,9800,2021-10
292,1597286,122901,9820,2021-10-02,9550,2021-10
293,1597286,122945,32100,2021-10-02,37300,2021-10
294,1597286,122957,15600,2021-10-02,19100,2021-10
295,1597286,122959,45700,2021-10-02,47800,2021-10
296,1597286,122929,6110,2021-10-02,7050,2021-10
297,1597286,122906,5990,2021-10-02,6000,2021-10
298,1597286,123048,13800,2021-10-02,13800,2021-10
299,1597286,122937,25500,2021-10-02,30250,2021-10
300,1597286,122965,9620,2021-10-02,11400,2021-10
301,1597286,123047,10700,2021-10-02,10900,2021-10
302,1597286,123072,8000,2021-10-02,7950,2021-10
303,1597286,122902,9990,2021-10-02,10450,2021-10
304,1597286,122910,9840,2021-10-02,9800,2021-10
305,1597286,122912,20000,2021-10-02,26400,2021-10
306,1597286,123082,12300,2021-10-02,16300,2021-10
307,1597286,122952,7090,2021-10-02,5950,2021-10
308,1597286,122938,25500,2021-10-02,30250,2021-10
309,1597286,123056,9770,2021-10-02,8850,2021-10
310,1597286,122949,14050,2021-10-02,16400,2021-10
311,1597286,122915,11150,2021-10-02,11950,2021-10
312,1597286,123039,13800,2021-10-02,13800,2021-10
313,1597286,123038,13800,2021-10-02,13800,2021-10
314,1597286,122891,9100,2021-10-02,8500,2021-10
315,1597286,123083,12300,2021-10-02,16300,2021-10
316,1597286,123083,12300,2021-10-02,16300,2021-10
317,1597286,123078,5870,2021-10-02,6650,2021-10
318,1597286,123057,6050,2021-10-02,16200,2021-10
319,1597286,122942,12450,2021-10-02,15900,2021-10
320,1597286,123081,15150,2021-10-02,26000,2021-10
321,1597286,122926,23300,2021-10-02,21550,2021-10
322,1597286,122921,15000,2021-10-02,18150,2021-10
323,1597286,123036,18000,2021-10-02,18150,2021-10
324,1597286,122946,18200,2021-10-02,22700,2021-10
325,1597286,122944,32100,2021-10-02,37300,2021-10
326,1597286,122947,18200,2021-10-02,22700,2021-10
327,1597286,122907,6450,2021-10-02,6600,2021-10
328,1597286,122918,11150,2021-10-02,11950,2021-10
329,1597351,123077,5250,2021-10-02,6650,2021-10
330,1597351,122909,8450,2021-10-02,9800,2021-10
331,1597351,123056,8750,2021-10-02,8850,2021-10
332,1597351,122891,8150,2021-10-02,8500,2021-10
333,1597351,122898,8050,2021-10-02,8250,2021-10
334,1597351,122926,20600,2021-10-02,21550,2021-10
335,1597351,123038,12950,2021-10-02,13800,2021-10
336,1597351,122965,9000,2021-10-02,11400,2021-10
337,1597351,123043,10190,2021-10-02,9800,2021-10
338,1597351,123058,9050,2021-10-02,9250,2021-10
339,1597351,122895,4100,2021-10-02,4400,2021-10
340,1597351,123039,12231,2021-10-02,13800,2021-10
341,1597351,123059,9090,2021-10-02,9500,2021-10
342,1597351,123048,13800,2021-10-02,13800,2021-10
344,1597389,122895,3970,2021-10-02,4750,2021-10
345,1597389,122964,14390,2021-10-02,13650,2021-10
346,1597389,122906,5320,2021-10-02,6450,2021-10
347,1597389,122946,20150,2021-10-02,24550,2021-10
348,1597389,122907,5860,2021-10-02,7100,2021-10
349,1597389,122949,14570,2021-10-02,17750,2021-10
350,1597389,122961,4880,2021-10-02,7600,2021-10
351,1597389,122961,4880,2021-10-02,7600,2021-10
352,1597389,122902,9310,2021-10-02,11350,2021-10
353,1597389,122898,7960,2021-10-02,8900,2021-10
354,1597389,122948,14570,2021-10-02,17750,2021-10
355,1597389,122910,8740,2021-10-02,10650,2021-10
356,1597389,122909,7310,2021-10-02,10650,2021-10
357,1597389,122901,8500,2021-10-02,10350,2021-10
358,1596673,122959,37390,2021-10-04,47800,2021-10
359,1596673,122964,9990,2021-10-04,12600,2021-10
360,1596673,123081,35990,2021-10-04,26000,2021-10
361,1596673,123033,12990,2021-10-04,16750,2021-10
362,1596673,122958,33990,2021-10-04,43450,2021-10
363,1596673,122911,22590,2021-10-04,30100,2021-10
364,1596673,123039,12990,2021-10-04,13800,2021-10
365,1596673,122946,18590,2021-10-04,22700,2021-10
366,1596673,122891,9990,2021-10-04,8500,2021-10
367,1596673,123047,10390,2021-10-04,10900,2021-10
368,1596673,123038,12990,2021-10-04,13800,2021-10
369,1596673,122912,21590,2021-10-04,26400,2021-10
370,1596673,123052,21990,2021-10-04,21000,2021-10
371,1596673,122945,27990,2021-10-04,37300,2021-10
372,1596673,122930,5790,2021-10-04,7050,2021-10
373,1596673,122914,9590,2021-10-04,11950,2021-10
374,1596673,123072,6190,2021-10-04,7950,2021-10
375,1596673,123053,21390,2021-10-04,21000,2021-10
376,1596673,122944,29990,2021-10-04,37300,2021-10
377,1596673,122948,12390,2021-10-04,16400,2021-10
378,1596673,122907,6190,2021-10-04,6600,2021-10
379,1596673,123058,10990,2021-10-04,9250,2021-10
380,1596673,122969,23790,2021-10-04,30550,2021-10
381,1596673,123030,32990,2021-10-04,40100,2021-10
382,1596673,123036,14790,2021-10-04,18150,2021-10
383,1596673,122965,8990,2021-10-04,11400,2021-10
384,1596673,122949,13190,2021-10-04,16400,2021-10
385,1596673,122956,16590,2021-10-04,21000,2021-10
386,1596673,123040,6990,2021-10-04,9800,2021-10
387,1596673,122916,9590,2021-10-04,11950,2021-10
388,1596673,123043,6990,2021-10-04,9800,2021-10
